Video ID,Code,Module,English title,Vietnamese title,Level,Target duration,English words,Turns,Image file,Content status,QC
1,DGE0001,M01,Introducing Yourself and Your Colleagues,Giới thiệu bản thân và đồng nghiệp,Pre-A1.1,210–240 sec,189,20,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
2,DGE0002,M01,Meeting New Classmates,Làm quen với các bạn học mới,Pre-A1.1,210–240 sec,192,18,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
3,DGE0003,M01,Introducing Friends in a Group,Giới thiệu bạn bè trong một nhóm,Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
4,DGE0004,M01,Starting a New English Class,Bắt đầu một lớp tiếng Anh mới,Pre-A1.1,210–240 sec,192,18,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
5,DGE0005,M01,Greeting New Team Members,Chào hỏi thành viên mới trong nhóm,Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
6,DGE0006,M01,Learning Everyone’s Names,Làm quen tên của mọi người,Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
7,DGE0007,M01,Welcoming People to a Group,Chào đón mọi người vào nhóm,Pre-A1.1,210–240 sec,194,20,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
8,DGE0008,M01,Making Introductions at School,Giới thiệu và làm quen ở trường,Pre-A1.1,210–240 sec,192,18,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
9,DGE0009,M01,Meeting Someone for the First Time,Gặp một người lần đầu tiên,Pre-A1.1,210–240 sec,194,22,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
10,DGE0010,M01,Alphabet checkpoint,Ôn tập bảng chữ cái,Pre-A1.1,210–240 sec,190,18,DGE_MODULE_M01_PORTRAIT_9X16.jpg,FINAL,PASS
11,DGE0011,M02,Spell the name Ben,Đánh vần tên Ben,Pre-A1.1,210–240 sec,203,26,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
12,DGE0012,M02,Spell the name Mia,Đánh vần tên Mia,Pre-A1.1,210–240 sec,203,26,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
13,DGE0013,M02,Spell the name Tom,Đánh vần tên Tom,Pre-A1.1,210–240 sec,203,26,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
14,DGE0014,M02,Spell the name Lily,Đánh vần tên Lily,Pre-A1.1,210–240 sec,203,26,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
15,DGE0015,M02,Spell cat and dog,Đánh vần cat và dog,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
16,DGE0016,M02,Spell book and pen,Đánh vần book và pen,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
17,DGE0017,M02,Spell red and blue,Đánh vần red và blue,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
18,DGE0018,M02,Ask: How do you spell it?,Hỏi: Bạn đánh vần thế nào?,Pre-A1.1,210–240 sec,192,18,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
19,DGE0019,M02,Check a spelling,Kiểm tra cách đánh vần,Pre-A1.1,210–240 sec,190,22,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
20,DGE0020,M02,Spelling checkpoint,Ôn tập đánh vần,Pre-A1.1,210–240 sec,182,20,DGE_MODULE_M02_PORTRAIT_9X16.jpg,FINAL,PASS
21,DGE0021,M03,Short sound in cat,Âm ngắn trong từ cat,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
22,DGE0022,M03,Long sound in car,Âm dài trong từ car,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
23,DGE0023,M03,Short sound in sit,Âm ngắn trong từ sit,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
24,DGE0024,M03,Long sound in see,Âm dài trong từ see,Pre-A1.1,210–240 sec,206,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
25,DGE0025,M03,Sound contrast: ship and sheep,Phân biệt âm: ship và sheep,Pre-A1.1,210–240 sec,198,22,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
26,DGE0026,M03,Sound contrast: full and fool,Phân biệt âm: full và fool,Pre-A1.1,210–240 sec,198,22,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
27,DGE0027,M03,TH in thank you,Âm TH trong thank you,Pre-A1.1,210–240 sec,198,18,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
28,DGE0028,M03,H in hello,Âm H trong hello,Pre-A1.1,210–240 sec,202,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
29,DGE0029,M03,Hear the difference,Nghe và phân biệt âm,Pre-A1.1,210–240 sec,186,20,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
30,DGE0030,M03,Sound checkpoint,Ôn tập âm cơ bản,Pre-A1.1,210–240 sec,176,18,DGE_MODULE_M03_PORTRAIT_9X16.jpg,FINAL,PASS
31,DGE0031,M04,Say hello,Nói lời chào,Pre-A1.1,210–240 sec,185,28,DGE_MODULE_M04_PORTRAIT_9X16.jpg,FINAL,PASS
