Lesson ID,CEFR Level,Major Domain,Scenario,English Lesson Title,Vietnamese Lesson Title,Primary Communication Goal,EN Word Target,Actual Bilingual A4 Page Target,Main Character,Secondary Character Rule,Status
0001,A0 / Pre-A1,Personal Identity,your name,Recognising and responding to your name,Giao tiếp nền tảng: personal identity & introductions — your name,recognise and respond to your name; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0002,A0 / Pre-A1,Social Basics,saying hello,Recognising and responding to saying hello,Giao tiếp nền tảng: greetings & basic social contact — saying hello,recognise and respond to saying hello; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0003,A0 / Pre-A1,Numbers and Time,numbers 0–20,Recognising and responding to numbers 0–20,"Giao tiếp nền tảng: numbers, dates & time — numbers 0–20",recognise and respond to numbers 0–20; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0004,A0 / Pre-A1,Home,a room in the home,Recognising and responding to a room in the home,Giao tiếp nền tảng: home & household — a room in the home,recognise and respond to a room in the home; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0005,A0 / Pre-A1,Family,who a family member is,Recognising and responding to who a family member is,Giao tiếp nền tảng: family & relationships — who a family member is,recognise and respond to who a family member is; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0006,A0 / Pre-A1,Food,asking for water,Recognising and responding to asking for water,Giao tiếp nền tảng: food & drink — asking for water,recognise and respond to asking for water; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0007,A0 / Pre-A1,Shopping,the first practical exchange about shopping & payments,Recognising and responding to the first practical exchange about shopping & payments,Giao tiếp nền tảng: shopping & payments — the first practical exchange about shopping & payments,recognise and respond to the first practical exchange about shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0008,A0 / Pre-A1,Clothing,the first practical exchange about clothing & personal items,Recognising and responding to the first practical exchange about clothing & personal items,Giao tiếp nền tảng: clothing & personal items — the first practical exchange about clothing & personal items,recognise and respond to the first practical exchange about clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0009,A0 / Pre-A1,Neighbourhood,the first practical exchange about neighbourhood & directions,Recognising and responding to the first practical exchange about neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — the first practical exchange about neighbourhood & directions,recognise and respond to the first practical exchange about neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0010,A0 / Pre-A1,Transport,the first practical exchange about public transport,Recognising and responding to the first practical exchange about public transport,Giao tiếp nền tảng: public transport — the first practical exchange about public transport,recognise and respond to the first practical exchange about public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0011,A0 / Pre-A1,Transport,the first practical exchange about taxi & ride services,Recognising and responding to the first practical exchange about taxi & ride services,Giao tiếp nền tảng: taxi & ride services — the first practical exchange about taxi & ride services,recognise and respond to the first practical exchange about taxi & ride services; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0012,A0 / Pre-A1,Mobility,the first practical exchange about walking & getting around,Recognising and responding to the first practical exchange about walking & getting around,Giao tiếp nền tảng: walking & getting around — the first practical exchange about walking & getting around,recognise and respond to the first practical exchange about walking & getting around; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0013,A0 / Pre-A1,Weather,the first practical exchange about weather & daily plans,Recognising and responding to the first practical exchange about weather & daily plans,Giao tiếp nền tảng: weather & daily plans — the first practical exchange about weather & daily plans,recognise and respond to the first practical exchange about weather & daily plans; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0014,A0 / Pre-A1,Daily Life,the first practical exchange about daily routines,Recognising and responding to the first practical exchange about daily routines,Giao tiếp nền tảng: daily routines — the first practical exchange about daily routines,recognise and respond to the first practical exchange about daily routines; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0015,A0 / Pre-A1,Learning,the first practical exchange about school & learning,Recognising and responding to the first practical exchange about school & learning,Giao tiếp nền tảng: school & learning — the first practical exchange about school & learning,recognise and respond to the first practical exchange about school & learning; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0016,A0 / Pre-A1,Work,the first practical exchange about workplace everyday communication,Recognising and responding to the first practical exchange about workplace everyday communication,Giao tiếp nền tảng: workplace everyday communication — the first practical exchange about workplace everyday communication,recognise and respond to the first practical exchange about workplace everyday communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0017,A0 / Pre-A1,Communication,the first practical exchange about phone calls,Recognising and responding to the first practical exchange about phone calls,Giao tiếp nền tảng: phone calls — the first practical exchange about phone calls,recognise and respond to the first practical exchange about phone calls; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0018,A0 / Pre-A1,Communication,the first practical exchange about messages & everyday digital communication,Recognising and responding to the first practical exchange about messages & everyday digital communication,Giao tiếp nền tảng: messages & everyday digital communication — the first practical exchange about messages & everyday digital communication,recognise and respond to the first practical exchange about messages & everyday digital communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0019,A0 / Pre-A1,Personal Identity,how to spell your name,Recognising and responding to how to spell your name,Giao tiếp nền tảng: personal identity & introductions — how to spell your name,recognise and respond to how to spell your name; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0020,A0 / Pre-A1,Social Basics,responding to a greeting,Recognising and responding to responding to a greeting,Giao tiếp nền tảng: greetings & basic social contact — responding to a greeting,recognise and respond to responding to a greeting; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0021,A0 / Pre-A1,Numbers and Time,a phone number,Recognising and responding to a phone number,"Giao tiếp nền tảng: numbers, dates & time — a phone number",recognise and respond to a phone number; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0022,A0 / Pre-A1,Home,a common household object,Recognising and responding to a common household object,Giao tiếp nền tảng: home & household — a common household object,recognise and respond to a common household object; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
