Video ID,Code,English title,Vietnamese title,Turn,Speaker,English,Vietnamese,EN words,Line key,Image file,Logo file,English display,Vietnamese display,English voice,Vietnamese voice,Reflex role,Speaker sex,Language,Voice locale,On-screen prefix,Render order,Reflex rule
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,1,Ben,"Hello, Mia. Today we will practise introducing my family at home in a clear conversation.",Chào Mia. Hôm nay chúng ta sẽ luyện giới thiệu gia đình tôi ở nhà trong một cuộc hội thoại rõ ràng.,15,DGE0302_L01,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,"TIẾNG ANH: Hello, Mia. Today we will practise introducing my family at home in a clear conversation.",TIẾNG VIỆT: Chào Mia. Hôm nay chúng ta sẽ luyện giới thiệu gia đình tôi ở nhà trong một cuộc hội thoại rõ ràng.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,2,Mia,"Hello, Ben. I am ready to practise introducing my family at home with you today.",Chào Ben. Hôm nay mình đã sẵn sàng luyện giới thiệu gia đình tôi ở nhà cùng bạn.,15,DGE0302_L02,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,"TIẾNG ANH: Hello, Ben. I am ready to practise introducing my family at home with you today.",TIẾNG VIỆT: Chào Ben. Hôm nay mình đã sẵn sàng luyện giới thiệu gia đình tôi ở nhà cùng bạn.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,3,Ben,"First, listen to the phrase about introducing my family at home at natural speed.","Trước tiên, hãy nghe cụm từ về giới thiệu gia đình tôi ở nhà ở tốc độ tự nhiên.",14,DGE0302_L03,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,"TIẾNG ANH: First, listen to the phrase about introducing my family at home at natural speed.","TIẾNG VIỆT: Trước tiên, hãy nghe cụm từ về giới thiệu gia đình tôi ở nhà ở tốc độ tự nhiên.",British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,4,Mia,I am listening carefully to the natural phrase about introducing my family at home.,Mình đang nghe kỹ cụm từ tự nhiên về giới thiệu gia đình tôi ở nhà.,14,DGE0302_L04,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: I am listening carefully to the natural phrase about introducing my family at home.,TIẾNG VIỆT: Mình đang nghe kỹ cụm từ tự nhiên về giới thiệu gia đình tôi ở nhà.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,5,Ben,Please repeat the key idea for introducing my family at home slowly and carefully.,Hãy nhắc lại ý chính về giới thiệu gia đình tôi ở nhà thật chậm và cẩn thận.,14,DGE0302_L05,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: Please repeat the key idea for introducing my family at home slowly and carefully.,TIẾNG VIỆT: Hãy nhắc lại ý chính về giới thiệu gia đình tôi ở nhà thật chậm và cẩn thận.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,6,Mia,I will repeat the key idea for introducing my family at home slowly and clearly.,Mình sẽ nhắc lại ý chính về giới thiệu gia đình tôi ở nhà thật chậm và rõ.,15,DGE0302_L06,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: I will repeat the key idea for introducing my family at home slowly and clearly.,TIẾNG VIỆT: Mình sẽ nhắc lại ý chính về giới thiệu gia đình tôi ở nhà thật chậm và rõ.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,7,Ben,Now say the same idea again without looking at the words.,Bây giờ hãy nói lại ý đó mà không nhìn vào câu chữ.,11,DGE0302_L07,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: Now say the same idea again without looking at the words.,TIẾNG VIỆT: Bây giờ hãy nói lại ý đó mà không nhìn vào câu chữ.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,8,Mia,I can now say the idea about introducing my family at home without reading.,Bây giờ mình có thể nói ý về giới thiệu gia đình tôi ở nhà mà không cần đọc.,14,DGE0302_L08,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: I can now say the idea about introducing my family at home without reading.,TIẾNG VIỆT: Bây giờ mình có thể nói ý về giới thiệu gia đình tôi ở nhà mà không cần đọc.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,9,Ben,Imagine that we are at home and need to use introducing my family at home.,Hãy tưởng tượng chúng ta đang ở nhà và cần dùng cách nói về giới thiệu gia đình tôi ở nhà.,15,DGE0302_L09,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: Imagine that we are at home and need to use introducing my family at home.,TIẾNG VIỆT: Hãy tưởng tượng chúng ta đang ở nhà và cần dùng cách nói về giới thiệu gia đình tôi ở nhà.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
302,DGE0302,Family members and relationships: introducing my family at home,Thành viên và quan hệ gia đình: giới thiệu gia đình tôi ở nhà,10,Mia,I can picture the home situation and understand introducing my family at home.,Mình hình dung được tình huống tại nhà và hiểu giới thiệu gia đình tôi ở nhà.,13,DGE0302_L10,DGE_MODULE_M31_PORTRAIT_9X16.jpg,SCM_LOGO.png,TIẾNG ANH: I can picture the home situation and understand introducing my family at home.,TIẾNG VIỆT: Mình hình dung được tình huống tại nhà và hiểu giới thiệu gia đình tôi ở nhà.,British English (en-GB),Vietnamese (vi-VN) — giọng chuẩn địa phương,REFLEX ANSWER,MALE,EN → VI,en-GB Male → vi-VN Male,TIẾNG ANH: → TIẾNG VIỆT:,4 EN / 5 VI,"Câu trả lời phải tự nhiên, trực tiếp, đúng câu hỏi."
