Video ID,Code,English title,Vietnamese title,Turn,Speaker,English,Vietnamese,EN words,Line key,Image file,,English display,Vietnamese display,English voice,Vietnamese voice,Reflex role,Speaker sex,Language flow,Voice mapping,On-screen labels,Render order,Reflex rule
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,1,Mia,"Hello, Ben; Today’s lesson is “Numbers 0–20: zero to five”.",Chào Ben; Bài học hôm nay là “Số từ 0–20: số từ không đến năm”.,11,DGE0101_L01,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,"TIẾNG ANH: Hello, Ben; Today’s lesson is “Numbers 0–20: zero to five”.",TIẾNG VIỆT: Chào Ben; Bài học hôm nay là “Số từ 0–20: số từ không đến năm”.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,2,Ben,"Hello, Mia; I am ready for “Numbers 0–20: zero to five”.",Chào Mia; Mình đã sẵn sàng học “Số từ 0–20: số từ không đến năm”.,12,DGE0101_L02,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,"TIẾNG ANH: Hello, Mia; I am ready for “Numbers 0–20: zero to five”.",TIẾNG VIỆT: Chào Mia; Mình đã sẵn sàng học “Số từ 0–20: số từ không đến năm”.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,3,Mia,Listen first; Our key language is zero to five.,Hãy nghe trước; Nội dung chính là số từ không đến năm.,9,DGE0101_L03,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Listen first; Our key language is zero to five.,TIẾNG VIỆT: Hãy nghe trước; Nội dung chính là số từ không đến năm.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,4,Ben,I am listening carefully to zero to five.,Mình đang nghe kỹ số từ không đến năm.,8,DGE0101_L04,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: I am listening carefully to zero to five.,TIẾNG VIỆT: Mình đang nghe kỹ số từ không đến năm.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,5,Mia,Please hear zero to five one more time.,Hãy nghe số từ không đến năm thêm một lần nữa.,8,DGE0101_L05,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Please hear zero to five one more time.,TIẾNG VIỆT: Hãy nghe số từ không đến năm thêm một lần nữa.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,6,Ben,I can hear the key language clearly.,Mình có thể nghe rõ nội dung chính.,7,DGE0101_L06,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: I can hear the key language clearly.,TIẾNG VIỆT: Mình có thể nghe rõ nội dung chính.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,7,Mia,Now say zero to five slowly with me.,Bây giờ hãy nói chậm số từ không đến năm cùng mình.,8,DGE0101_L07,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Now say zero to five slowly with me.,TIẾNG VIỆT: Bây giờ hãy nói chậm số từ không đến năm cùng mình.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,8,Ben,I will say zero to five slowly and clearly.,Mình sẽ nói số từ không đến năm chậm và rõ.,9,DGE0101_L08,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: I will say zero to five slowly and clearly.,TIẾNG VIỆT: Mình sẽ nói số từ không đến năm chậm và rõ.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,9,Mia,Good; Keep every sound in zero to five clear.,Tốt; Hãy phát âm rõ từng âm trong số từ không đến năm.,9,DGE0101_L09,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Good; Keep every sound in zero to five clear.,TIẾNG VIỆT: Tốt; Hãy phát âm rõ từng âm trong số từ không đến năm.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,10,Ben,I will not hurry through zero to five.,Mình sẽ không nói vội khi luyện số từ không đến năm.,8,DGE0101_L10,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: I will not hurry through zero to five.,TIẾNG VIỆT: Mình sẽ không nói vội khi luyện số từ không đến năm.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,11,Mia,Say zero to five again at normal speed.,Hãy nói lại số từ không đến năm với tốc độ bình thường.,8,DGE0101_L11,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Say zero to five again at normal speed.,TIẾNG VIỆT: Hãy nói lại số từ không đến năm với tốc độ bình thường.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,12,Ben,I can say zero to five at normal speed.,Mình có thể nói số từ không đến năm với tốc độ bình thường.,9,DGE0101_L12,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: I can say zero to five at normal speed.,TIẾNG VIỆT: Mình có thể nói số từ không đến năm với tốc độ bình thường.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
101,DGE0101,Numbers 0–20: zero to five,Số từ 0–20: số từ không đến năm,13,Mia,Look away and remember zero to five.,Hãy nhìn chỗ khác và nhớ lại số từ không đến năm.,7,DGE0101_L13,DGE_MODULE_M11_PORTRAIT_9X16.jpg,,TIẾNG ANH: Look away and remember zero to five.,TIẾNG VIỆT: Hãy nhìn chỗ khác và nhớ lại số từ không đến năm.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
