Video ID,Code,English title,Vietnamese title,Turn,Speaker,English,Vietnamese,EN words,Line key,Image file,,English display,Vietnamese display,English voice,Vietnamese voice,Reflex role,Speaker sex,Language flow,Voice mapping,On-screen labels,Render order,Reflex rule
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",1,Mia,"Hello, Ben; Today’s lesson is “This, that, these and those: these and those”.","Chào Ben; Bài học hôm nay là “This, that, these và those: these và those”.",13,DGE0202_L01,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,"TIẾNG ANH: Hello, Ben; Today’s lesson is “This, that, these and those: these and those”.","TIẾNG VIỆT: Chào Ben; Bài học hôm nay là “This, that, these và those: these và those”.",en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",2,Ben,"Hello, Mia; I am ready for “This, that, these and those: these and those”.","Chào Mia; Mình đã sẵn sàng học “This, that, these và those: these và those”.",14,DGE0202_L02,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,"TIẾNG ANH: Hello, Mia; I am ready for “This, that, these and those: these and those”.","TIẾNG VIỆT: Chào Mia; Mình đã sẵn sàng học “This, that, these và those: these và those”.",en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",3,Mia,Listen first; Our key language is these and those.,Hãy nghe trước; Nội dung chính là these và those.,9,DGE0202_L03,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: Listen first; Our key language is these and those.,TIẾNG VIỆT: Hãy nghe trước; Nội dung chính là these và those.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",4,Ben,I am listening carefully to these and those.,Mình đang nghe kỹ these và those.,8,DGE0202_L04,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: I am listening carefully to these and those.,TIẾNG VIỆT: Mình đang nghe kỹ these và those.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",5,Mia,Please hear these and those one more time.,Hãy nghe these và those thêm một lần nữa.,8,DGE0202_L05,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: Please hear these and those one more time.,TIẾNG VIỆT: Hãy nghe these và those thêm một lần nữa.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",6,Ben,I can hear the key language clearly.,Mình có thể nghe rõ nội dung chính.,7,DGE0202_L06,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: I can hear the key language clearly.,TIẾNG VIỆT: Mình có thể nghe rõ nội dung chính.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",7,Mia,Now say these and those slowly with me.,Bây giờ hãy nói chậm these và those cùng mình.,8,DGE0202_L07,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: Now say these and those slowly with me.,TIẾNG VIỆT: Bây giờ hãy nói chậm these và those cùng mình.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",8,Ben,I will say these and those slowly and clearly.,Mình sẽ nói these và those chậm và rõ.,9,DGE0202_L08,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: I will say these and those slowly and clearly.,TIẾNG VIỆT: Mình sẽ nói these và those chậm và rõ.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",9,Mia,Good; Keep every sound in these and those clear.,Tốt; Hãy phát âm rõ từng âm trong these và those.,9,DGE0202_L09,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: Good; Keep every sound in these and those clear.,TIẾNG VIỆT: Tốt; Hãy phát âm rõ từng âm trong these và those.,en-GB-SoniaNeural,vi-VN-HoaiMyNeural,QUESTION / PROMPT,FEMALE,EN → VI,Female EN → Female VI,TIẾNG ANH: / TIẾNG VIỆT:,1 EN → 2 VI → 3 REFLEX GAP,Nữ hỏi/gợi ý; sau VI có khoảng chờ phản xạ.
202,DGE0202,"This, that, these and those: these and those","This, that, these và those: these và those",10,Ben,I will not hurry through these and those.,Mình sẽ không nói vội khi luyện these và those.,8,DGE0202_L10,DGE_MODULE_M21_PORTRAIT_9X16.jpg,,TIẾNG ANH: I will not hurry through these and those.,TIẾNG VIỆT: Mình sẽ không nói vội khi luyện these và those.,en-GB-RyanNeural,vi-VN-NamMinhNeural,REFLEX ANSWER,MALE,EN → VI,Male EN → Male VI,TIẾNG ANH: / TIẾNG VIỆT:,4 EN → 5 VI,Nam trả lời; sau đó Nam VI dịch.
